job_id,job_title,employer_name,employer_logo,employer_website,job_publisher,job_employment_type,job_employment_types,job_apply_link,job_apply_is_direct
YP0i-nC4SX43HSjXAAAAAA==,Senior Software Engineer - HPC,NVIDIA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRusgz2v0utEcgco_bD-XkEU-kwuHYLcjqVD_6Z&s=0,,LinkedIn,Full-time,['FULLTIME'],https://in.linkedin.com/jobs/view/senior-software-engineer-hpc-at-nvidia-4268856800?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
c94hpSfCjkTJaJaUAAAAAA==,C# and Xamarin iOS,Anicalls (Pty) Ltd,,,WhatJobs,Full-time,['FULLTIME'],https://en-in.whatjobs.com/jobs/software-engineer?id=166730822&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
F-9wUiolm75BvIr7AAAAAA==,Senior Software Engineer (.Net. Process/Industrial Automation,Baker Hughes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWakRdqOYks4LZwgtA2H2KhVZwEvJUsvcFjWrF&s=0,https://www.bakerhughes.com,Baker Hughes,Full-time,['FULLTIME'],https://careers.bakerhughes.com/global/en/job/R149749/Senior-Software-Engineer-Net-Process-Industrial-Automation?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
Pa-JRNMiDF0Qpb6GAAAAAA==,Data Scientist III  IES Shopping Intelligence,Amazon,,https://www.amazon.com,Talentmate,Full-time,['FULLTIME'],https://www.talentmate.com/jobs/india/bengaluru/data-scientist-iii-ies-shopping-intelligence/2508-1832-916?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
dvnS_7R79_jUbo_HAAAAAA==,Data Scientist – Azure ML & Data Quality,Teamware Solutions,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj0yuGQub1NC07JzvCoy3FStZqsYghKNy6McSh&s=0,https://teamwaresolutions.net,LinkedIn,Full-time,['FULLTIME'],https://in.linkedin.com/jobs/view/data-scientist-%E2%80%93-azure-ml-data-quality-at-teamware-solutions-4283112234?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
g7WWiG6uBY5bUmoLAAAAAA==,"Data Scientist, VP",NatWest Digital X,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTu6lhEsxQT1UOE-2wyjArdjztL1XAiD4j-IMNO&s=0,https://jobs.natwestgroup.com,NatWest Group Careers,Full-time,['FULLTIME'],https://jobs.natwestgroup.com/jobs/16388198-data-scientist-vp?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
QXyfA-JbdjyrF_B8AAAAAA==,Data Scientist II,General Mills,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKTDtrf3H_j_m8EWnp7hh9JXUtQ7TOCYlzU3bP&s=0,https://www.generalmills.com,General Mills Careers,Full-time,['FULLTIME'],https://careers.generalmills.com/careers/jobs/33450?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,True
1-ZZgFOW4QmE4y4AAAAAAA==,Senior Data Scientist,Mastercard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnWxNA5w472wqgBWJbT6wqQd_uHMmklYpnLovn&s=0,https://www.mastercard.com,Mastercard Careers,Full-time,['FULLTIME'],https://careers.mastercard.com/us/en/job/R-245505/Senior-Data-Scientist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
u5Im8yQkLeF92AoaAAAAAA==,Data Scientist ROAS Forecasting- Fulltime 3 Month Contract,Uplers,,https://www.uplers.com,Talentmate,Full-time,['FULLTIME'],https://www.talentmate.com/jobs/india/aurangabad/data-scientist-roas-forecasting-fulltime-3-month-contract/2508-5325-1376?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
pCCA75IgDq-a_ehQAAAAAA==,"Data Scientist / Senior Data Scientist, India - BCG X",Boston Consulting Group,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxMy3OJRSwXcqB_s6dIHtI8zYYudxFVfaOcfGQ&s=0,,Boston Consulting Group,Full-time,['FULLTIME'],https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
YGrGoI5eVORcd-8QAAAAAA==,Data Scientist Risk,Uber,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrnrY2RBocwi6880j2OSqQFKoIisGklfEwXd_3&s=0,https://www.uber.com,Uber,Full-time,['FULLTIME'],https://www.uber.com/global/en/careers/list/145486/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,True
1lIIglxOOAsT1u2vAAAAAA==,Data Scientist,Barclays,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGynjTIX-u7dO0i7gRSZgnEQlZXKEuAV1gahHi&s=0,,Barclays Careers,Full-time,['FULLTIME'],https://search.jobs.barclays/job/pune/data-scientist/13015/82392172944?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
lj2kp_9I7-voewr6AAAAAA==,AI & Data Science,Jivi AI,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnvZ7HonT6orlt95eoB3WQrsRPlzhf98cA8Qxx&s=0,https://www.jivi.ai,LinkedIn,Full-time,['FULLTIME'],https://in.linkedin.com/jobs/view/ai-data-science-at-jivi-ai-4281005312?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
b80Hwh7baG9JLvqLAAAAAA==,Senior Data Scientist Specialist,ABB,,http://www.abb.com/,ABB Career,Full-time,['FULLTIME'],https://careers.abb/us/en/job/92946306/Senior-Data-Scientist-Specialist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
bOYSx-ZI_LP4z3OsAAAAAA==,Senior Manager Data Science,eBay,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4jJ8mXgZgwBwf88jYM5si3QgvclxNqkf56J4G&s=0,http://www.ebay.com/,EBay Jobs - EBay Inc.,Full-time,['FULLTIME'],https://jobs.ebayinc.com/us/en/job/R0067302/Senior-Manager-Data-Science?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
3Ze6MJ8hLUGSUqa5AAAAAA==,Associate Data Scientist,Gartner Careers,,https://jobs.gartner.com,Gartner Careers,Full-time,['FULLTIME'],https://jobs.gartner.com/jobs/job/101739-associate-data-scientist/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
siSBOWOV8V7oXRRcAAAAAA==,Data Scientist - R/Python,Lemon Tree Hotels,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg_r7S_XnF4bgfQtwlVax_f-GdxFBvTU82qCnD&s=0,http://www.lemontreehotels.com/,LinkedIn,Full-time,['FULLTIME'],https://in.linkedin.com/jobs/view/data-scientist-r-python-at-lemon-tree-hotels-4281954751?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
yeqyP6rGQC62zgTAAAAAAA==,Data scientist- Python- AI/ML GEN AI- Across india,Capgemini Engineering,,http://www.altran.com/,Recruit.net,Full-time,['FULLTIME'],https://www.recruit.net/job/data-scientist-python-ai-ml-jobs/BEECEF6738062297?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,False
